site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,27,2300,12.38,12.58,12.44,97.6,97.9,97.8,14.03,14.26,14.1,0.3,0.68,2212,0.19,331.5,49.41,0,0.03
,21,2023,4,27,2400,12.31,12.86,12.5,97.7,98.1,97.9,13.98,14.55,14.17,0.3,0.69,2349,0.25,12.96,34.23,0,0.03
,21,2023,4,28,100,12.76,13.09,12.94,97.8,98.2,98,14.44,14.76,14.61,0.35,1.08,5,0.25,31.81,43.49,0,0.02
,21,2023,4,28,200,12.92,13.13,13,97.6,98,97.8,14.55,14.78,14.63,0.48,1.03,102,0.39,30.9,34.83,0,0.02
,21,2023,4,28,300,12.69,12.99,12.82,97.7,98,97.8,14.33,14.64,14.47,0.55,1.16,247,0.44,32.36,36.26,0,0.02
,21,2023,4,28,400,12.58,12.79,12.66,97.7,97.9,97.8,14.23,14.45,14.31,0.43,1.17,348,0.34,34.84,36.42,0,0.02
,21,2023,4,28,500,12.38,12.79,12.6,97.8,98,97.8,14.05,14.46,14.26,0.36,0.84,405,0.21,28.1,52.69,0,0.03
,21,2023,4,28,600,12.38,12.62,12.49,97.8,98,97.9,14.05,14.31,14.17,0.3,0.85,523,0.21,9.31,43.42,0.99,0.07
,21,2023,4,28,700,12.52,12.72,12.58,97.9,98.2,98,14.19,14.42,14.27,0.44,0.93,602,0.4,22.17,22.62,35.77,1.86
,21,2023,4,28,800,12.58,13.6,13.11,97.7,98.3,98.1,14.28,15.24,14.79,0.39,1.17,753,0.22,43.56,54.2,132.6,7.53
,21,2023,4,28,900,13.4,14.86,14.04,92.9,97.9,96.6,14.98,15.97,15.47,0.47,1.29,852,0.08,99.8,73.51,183.9,11.13
